timestamp_ms,p_event_fixation,p_event_saccade,p_event_noise,event_label
0.0,0.7511737089201879,0.22535211267605634,0.02347417840375587,saccade
25.0,0.7348723068567374,0.24208583684056592,0.023041856302696794,fixation
50.0,0.7180695030076927,0.25918779997842,0.022742697013887318,fixation
75.0,0.700814551920951,0.27661333080773237,0.02257211727131669,fixation
100.0,0.6831420149251488,0.2943304964185708,0.02252748865628035,fixation
125.0,0.665076517887864,0.31231536028505963,0.022608121827076416,fixation
150.0,0.6466372018383317,0.33054753639790263,0.022815261763765738,fixation
175.0,0.6278421773834194,0.34900572644545313,0.023152096171127602,fixation
200.0,0.6087133149448485,0.36766291192183415,0.023623773133317406,fixation
225.0,0.5892817394295323,0.3864808432961326,0.024237417274335243,saccade
250.0,0.5695460450802584,0.40536897284005635,0.025084982079685236,fixation
275.0,0.5300287074872295,0.4091462285650457,0.0608250639477248,fixation
300.0,0.48997550689769764,0.4099050658341433,0.10011942726815903,fixation
325.0,0.450101193625061,0.40763194317830487,0.14226686319663417,fixation
350.0,0.41111732573430987,0.40236742452517515,0.18651524974051492,fixation
375.0,0.3737195712714996,0.394205455334838,0.23207497339366245,saccade
400.0,0.3385752940509882,0.3832916861408555,0.2781330198081563,saccade
425.0,0.30631164453235926,0.3698208734130465,0.32386748205459426,saccade
450.0,0.27750436830561276,0.354033404123668,0.3684622275707192,fixation
475.0,0.2526675318974719,0.33621100603620113,0.41112146206632705,noise
500.0,0.23224434924203563,0.3166717202667373,0.4510839304912271,noise
525.0,0.21659927251762442,0.2957642258327268,0.48763650164964883,noise
550.0,0.206011488489024,0.27386161746765214,0.5201268940433238,noise
575.0,0.20066993641305408,0.25135474773667066,0.5479753158502753,noise
600.0,0.20066993641305408,0.22864525226332935,0.5706848113236166,noise
625.0,0.20601148848902395,0.20613838253234784,0.5878501289786282,noise
650.0,0.2165992725176244,0.18423577416727324,0.5991649533151023,noise
675.0,0.23224434924203563,0.16332827973326267,0.6044273710247017,fixation
700.0,0.2526675318974718,0.14378899396379885,0.6035434741387293,noise
725.0,0.2775043683056127,0.12596659587633202,0.5965290358180553,noise
750.0,0.30631164453235926,0.11017912658695356,0.5835092288806871,noise
775.0,0.3385752940509882,0.0967083138591445,0.5647163920898673,noise
800.0,0.37371957127149946,0.08579454466516206,0.5404858840633384,noise
825.0,0.4111173257343098,0.07763257547482486,0.5112500987908654,noise
850.0,0.45010119362506096,0.07236805682169511,0.4775307495532439,noise
875.0,0.48997550689769764,0.07009493416585669,0.4399295589364457,fixation
900.0,0.5300287074872295,0.0708537714349543,0.3991175210778162,saccade
925.0,0.5695460450802585,0.07463102715994366,0.35582292775979785,fixation
950.0,0.6078223318512539,0.08135929612292755,0.3108183720258185,fixation
975.0,0.6441745265560052,0.09091851220486585,0.264906961239129,fixation
1000.0,0.6779539234188066,0.1031380909683143,0.21890798561287914,fixation
1025.0,0.7085577283023925,0.11779997374075193,0.17364229795685557,fixation
1050.0,0.7354398155835982,0.13464251887675827,0.12991766553964357,fixation
1075.0,0.7581204737780418,0.15336517075937395,0.08851435546258424,fixation
1100.0,0.7761949660029286,0.1736338232222058,0.05017121077486561,fixation
1125.0,0.7819687157070666,0.19326477143982618,0.024766512853107315,saccade
1150.0,0.7669043946674794,0.20904938574449689,0.02404621958802382,fixation
1175.0,0.7511737089201879,0.2253521126760563,0.02347417840375587,fixation
